"CENSUS_YEAR","GEO_CODE (POR)","GEO_LEVEL","GEO_NAME","GNR","DATA_QUALITY_FLAG","ALT_GEO_CODE","GEO_CODE (POW)","GEO_LEVEL","GEO_NAME","GNR","DATA_QUALITY_FLAG","ALT_GEO_CODE","Dim: Sex (3): Member ID: [1]: Total - Sex","Dim: Sex (3): Member ID: [2]: Male","Dim: Sex (3): Member ID: [3]: Female"
2016,"1208","2","Hants",4.5,"00000","1208","4816","2","Division No. 16",8.8,"01122","4816",55,50,10
2016,"1209","2","Halifax",4.7,"00000","1209","1001","2","Division No. 1",3.6,"00000","1001",140,115,20
2016,"1209","2","Halifax",4.7,"00000","1209","1102","2","Queens",3.2,"00000","1102",35,30,10
2016,"1209","2","Halifax",4.7,"00000","1209","1201","2","Shelburne",4.3,"00000","1201",35,20,15
2016,"1209","2","Halifax",4.7,"00000","1209","1204","2","Queens",6.7,"00001","1204",20,10,15
2016,"1209","2","Halifax",4.7,"00000","1209","1205","2","Annapolis",5.7,"00000","1205",25,20,0
2016,"1209","2","Halifax",4.7,"00000","1209","1206","2","Lunenburg",2.9,"00000","1206",515,290,220
2016,"1209","2","Halifax",4.7,"00000","1209","1207","2","Kings",3.5,"00000","1207",475,265,210
2016,"1209","2","Halifax",4.7,"00000","1209","1208","2","Hants",3.7,"00000","1208",1910,1100,810
2016,"1209","2","Halifax",4.7,"00000","1209","1209","2","Halifax",3.1,"00000","1209",166610,78720,87890
2016,"1209","2","Halifax",4.7,"00000","1209","1210","2","Colchester",3.3,"00000","1210",635,325,310
2016,"1209","2","Halifax",4.7,"00000","1209","1211","2","Cumberland",3.2,"00000","1211",90,50,35
2016,"1209","2","Halifax",4.7,"00000","1209","1212","2","Pictou",3.7,"00000","1212",130,70,60
2016,"1209","2","Halifax",4.7,"00000","1209","1214","2","Antigonish",3.3,"00000","1214",85,50,30
2016,"1209","2","Halifax",4.7,"00000","1209","1215","2","Inverness",5.8,"00000","1215",35,10,25
2016,"1209","2","Halifax",4.7,"00000","1209","1217","2","Cape Breton",3.1,"00000","1217",145,75,70
2016,"1209","2","Halifax",4.7,"00000","1209","1301","2","Saint John",2.7,"00000","1301",40,20,20
2016,"1209","2","Halifax",4.7,"00000","1209","1307","2","Westmorland",3.0,"00000","1307",50,30,20
2016,"1209","2","Halifax",4.7,"00000","1209","1310","2","York",3.0,"00000","1310",25,0,25
2016,"1209","2","Halifax",4.7,"00000","1209","2423","2","Québec",2.8,"00000","2423",20,10,10
2016,"1209","2","Halifax",4.7,"00000","1209","2456","2","Le Haut-Richelieu",2.8,"00000","2456",30,20,10
2016,"1209","2","Halifax",4.7,"00000","1209","2466","2","Montréal",2.6,"00000","2466",40,25,15
2016,"1209","2","Halifax",4.7,"00000","1209","2481","2","Gatineau",2.9,"00000","2481",20,15,10
2016,"1209","2","Halifax",4.7,"00000","1209","3506","2","Ottawa",2.8,"00000","3506",100,45,55
2016,"1209","2","Halifax",4.7,"00000","1209","3510","2","Frontenac",3.5,"00000","3510",20,15,10
2016,"1209","2","Halifax",4.7,"00000","1209","3520","2","Toronto",2.9,"00000","3520",135,55,80
2016,"1209","2","Halifax",4.7,"00000","1209","3521","2","Peel",2.6,"00000","3521",55,40,15
2016,"1209","2","Halifax",4.7,"00000","1209","3530","2","Waterloo",2.9,"00000","3530",20,10,15
2016,"1209","2","Halifax",4.7,"00000","1209","3539","2","Middlesex",3.0,"20000","3539",25,10,10
2016,"1209","2","Halifax",4.7,"00000","1209","3543","2","Simcoe",3.3,"00000","3543",35,30,10
2016,"1209","2","Halifax",4.7,"00000","1209","4611","2","Division No. 11",2.4,"00000","4611",20,15,10
2016,"1209","2","Halifax",4.7,"00000","1209","4706","2","Division No. 6",3.8,"00000","4706",30,30,0
2016,"1209","2","Halifax",4.7,"00000","1209","4806","2","Division No. 6",3.6,"00000","4806",75,45,25
2016,"1209","2","Halifax",4.7,"00000","1209","4811","2","Division No. 11",4.0,"00000","4811",50,45,0
2016,"1209","2","Halifax",4.7,"00000","1209","4815","2","Division No. 15",7.3,"01201","4815",45,40,10
2016,"1209","2","Halifax",4.7,"00000","1209","4816","2","Division No. 16",8.8,"01122","4816",265,235,25
2016,"1209","2","Halifax",4.7,"00000","1209","5915","2","Greater Vancouver",4.1,"00001","5915",35,10,20
2016,"1209","2","Halifax",4.7,"00000","1209","5917","2","Capital",4.0,"20000","5917",30,20,10
2016,"1209","2","Halifax",4.7,"00000","1209","6204","2","Baffin",7.0,"00101","6204",25,15,10
2016,"1210","2","Colchester",5.8,"00000","1210","1206","2","Lunenburg",2.9,"00000","1206",30,15,15
2016,"1210","2","Colchester",5.8,"00000","1210","1207","2","Kings",3.5,"00000","1207",35,15,20
2016,"1210","2","Colchester",5.8,"00000","1210","1208","2","Hants",3.7,"00000","1208",465,265,200
2016,"1210","2","Colchester",5.8,"00000","1210","1209","2","Halifax",3.1,"00000","1209",1400,825,575
2016,"1210","2","Colchester",5.8,"00000","1210","1210","2","Colchester",3.3,"00000","1210",15185,6705,8480
2016,"1210","2","Colchester",5.8,"00000","1210","1211","2","Cumberland",3.2,"00000","1211",270,170,100
2016,"1210","2","Colchester",5.8,"00000","1210","1212","2","Pictou",3.7,"00000","1212",485,290,200
2016,"1210","2","Colchester",5.8,"00000","1210","1214","2","Antigonish",3.3,"00000","1214",40,25,20
2016,"1210","2","Colchester",5.8,"00000","1210","1217","2","Cape Breton",3.1,"00000","1217",20,10,10
2016,"1210","2","Colchester",5.8,"00000","1210","1307","2","Westmorland",3.0,"00000","1307",35,30,0
2016,"1210","2","Colchester",5.8,"00000","1210","3506","2","Ottawa",2.8,"00000","3506",20,10,20
2016,"1210","2","Colchester",5.8,"00000","1210","4811","2","Division No. 11",4.0,"00000","4811",20,15,10
